"Version","File","Url","Md5"
"5.35.477","kvaser_drivers_setup_5_35_477.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.35.477/kvaser_drivers_setup_5_35_477.exe","04A3F142C0288946DAD2CEAEA412639E"
"5.36.575","kvaser_drivers_setup_5_36_575.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.36.575/kvaser_drivers_setup_5_36_575.exe","F5313034BAE015B17B225EA143640B7B"
"5.37.686","kvaser_drivers_setup_5_37_686.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.37.686/kvaser_drivers_setup_5_37_686.exe","F12FB5CB01EFED37A940F953670380BF"
"5.38.841","kvaser_drivers_setup_5_38_841.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.38.841/kvaser_drivers_setup_5_38_841.exe","F27FDA88C8D27EBEE7627E8AF1CABF2C"
"5.39.944","kvaser_drivers_setup_5_39_944.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.39.944/kvaser_drivers_setup_5_39_944.exe","EFB0CBA6E2AA788F6A13CD0FFB2E55BF"
"5.40.102","kvaser_drivers_setup_5_40_102.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.40.102/kvaser_drivers_setup_5_40_102.exe","0520F9102A8B584F2AD7C64886921F64"
"5.41.305","kvaser_drivers_setup_5_41_305.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.41.305/kvaser_drivers_setup_5_41_305.exe","F38A4823E11BE850F4470DF45FCFAD9A"
"5.41.341","kvaser_drivers_setup_5_41_341.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.41.341/kvaser_drivers_setup_5_41_341.exe","D16BDDA0873C4BA0747A5B61D9F75685"
"5.43.472","kvaser_drivers_setup_5_43_472.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.43.472/kvaser_drivers_setup_5_43_472.exe","C3A9438170D2876CBAEC91B963A2568E"
"5.44.630","kvaser_drivers_setup_5_44_630.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.44.630/kvaser_drivers_setup_5_44_630.exe","B31F664D3432EC48A63C39C78EDBACCF"
"5.45.724","kvaser_drivers_setup_5_45_724.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.45.724/kvaser_drivers_setup_5_45_724.exe","B2FC760F6DD9E3C7423CBF73DAF1DE78"
"5.46.843","kvaser_drivers_setup_5_46_843.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.46.843/kvaser_drivers_setup_5_46_843.exe","CEB2ABD048342E54246A61A8C6A87A31"
"5.47.912","kvaser_drivers_setup_5_47_912.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.47.912/kvaser_drivers_setup_5_47_912.exe","2B96387956A972307FAAD6B4F1B2D733"
"5.48.995","kvaser_drivers_setup_5_48_995.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.48.995/kvaser_drivers_setup_5_48_995.exe","189C68A710BBE38B6FD89D19B87628E8"
"5.49.188","kvaser_drivers_setup_5_49_188.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.49.188/kvaser_drivers_setup_5_49_188.exe","45CB2A4AA2AF07268E7657A98C218167"
"5.50.312","kvaser_drivers_setup_5_50_312.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.50.312/kvaser_drivers_setup_5_50_312.exe","39D822392C39E9680C56BDF213BE64AB"
"5.51.461","kvaser_drivers_setup-5.51.461.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.51.461/kvaser_drivers_setup-5.51.461.exe","290FF9981E160D0C857B96BB79A68D12"
"5.52.559","kvaser_drivers_setup-5.52.559.exe","https://pim.kvaser.com/var/assets/Product_Resources/7330130980013/5.52.559/kvaser_drivers_setup-5.52.559.exe","F06FCA6122EEA67564E0636596BB0583"
